steps	avg_reward	std_reward	success_rate
0	47.93	25.629769799980647	0.01
1000	200.0	0.0	1.0
2000	200.0	0.0	1.0
3000	200.0	0.0	1.0
4000	200.0	0.0	1.0
5000	200.0	0.0	1.0
6000	200.0	0.0	1.0
7000	200.0	0.0	1.0
8000	200.0	0.0	1.0
9000	200.0	0.0	1.0
10000	200.0	0.0	1.0
11000	200.0	0.0	1.0
12000	200.0	0.0	1.0
13000	200.0	0.0	1.0
14000	200.0	0.0	1.0
15000	197.8	6.637770710110437	0.88
16000	200.0	0.0	1.0
17000	200.0	0.0	1.0
18000	200.0	0.0	1.0
19000	200.0	0.0	1.0
20000	200.0	0.0	1.0
